section,cell,book,iv,tenor_td,strike_off,delta_trig,budget,total_ret,max_dd,win_rate,final_equity,total_pl,n_converted,n_worthless
grid,4mo/OTM5/d85/14%/IV80,OPTION,0.8,84,0.05,0.85,0.14,0.2826,-0.1352,0.4133,833696,183696,49,26
grid,3mo/ITM5/d90/7%/IV80,OPTION,0.8,63,-0.05,0.9,0.07,0.2812,-0.0626,0.4133,832759,182759,54,21
grid,6mo/OTM5/d85/14%/IV80,OPTION,0.8,126,0.05,0.85,0.14,0.2735,-0.0901,0.48,827771,177771,51,24
grid,6mo/OTM5/d90/14%/IV80,OPTION,0.8,126,0.05,0.9,0.14,0.2648,-0.0894,0.4667,822102,172102,51,24
grid,6mo/ITM5/d80/14%/IV80,OPTION,0.8,126,-0.05,0.8,0.14,0.2642,-0.0725,0.4667,821734,171734,61,14
grid,4mo/ITM5/d80/7%/IV60,OPTION,0.6,84,-0.05,0.8,0.07,0.2595,-0.0676,0.4267,818644,168644,57,18
grid,9mo/ITM5/d90/7%/IV60,OPTION,0.6,189,-0.05,0.9,0.07,0.2569,-0.0538,0.56,817005,167005,53,22
grid,3mo/ITM5/d80/7%/IV80,OPTION,0.8,63,-0.05,0.8,0.07,0.2567,-0.0611,0.4,816886,166886,58,17
grid,4mo/OTM5/d80/14%/IV80,OPTION,0.8,84,0.05,0.8,0.14,0.2525,-0.1352,0.4,814136,164136,49,26
grid,9mo/OTM5/d80/14%/IV60,OPTION,0.6,189,0.05,0.8,0.14,0.2511,-0.0597,0.4667,813228,163228,51,24
grid,6mo/ITM5/d85/14%/IV80,OPTION,0.8,126,-0.05,0.85,0.14,0.2506,-0.0702,0.48,812904,162904,59,16
grid,6mo/ATM/d80/14%/IV80,OPTION,0.8,126,0.0,0.8,0.14,0.2495,-0.0732,0.4533,812192,162192,55,20
grid,6mo/ATM/d85/14%/IV80,OPTION,0.8,126,0.0,0.85,0.14,0.2489,-0.0816,0.4667,811783,161783,54,21
grid,4mo/ATM/d90/7%/IV80,OPTION,0.8,84,0.0,0.9,0.07,0.2417,-0.0651,0.4667,807124,157124,51,24
grid,9mo/ITM5/d80/7%/IV60,OPTION,0.6,189,-0.05,0.8,0.07,0.2405,-0.0575,0.48,806342,156342,60,15
grid,4mo/ITM5/d85/7%/IV80,OPTION,0.8,84,-0.05,0.85,0.07,0.2357,-0.0659,0.44,803234,153234,53,22
grid,4mo/ITM5/d80/7%/IV80,OPTION,0.8,84,-0.05,0.8,0.07,0.231,-0.0699,0.4267,800159,150159,56,19
grid,3mo/ATM/d85/7%/IV80,OPTION,0.8,63,0.0,0.85,0.07,0.2298,-0.0665,0.4,799389,149389,51,24
grid,3mo/ATM/d80/7%/IV80,OPTION,0.8,63,0.0,0.8,0.07,0.2292,-0.067,0.4,799011,149011,53,22
grid,9mo/ATM/d90/7%/IV60,OPTION,0.6,189,0.0,0.9,0.07,0.2278,-0.0408,0.4933,798056,148056,51,24
grid,3mo/ATM/d90/7%/IV80,OPTION,0.8,63,0.0,0.9,0.07,0.2275,-0.0656,0.4,797852,147852,50,25
grid,4mo/ITM5/d90/7%/IV80,OPTION,0.8,84,-0.05,0.9,0.07,0.2268,-0.0757,0.44,797401,147401,53,22
