section,portfolio,span,total_ret,cagr,max_dd,win_rate,n_trades,final_equity
headline,machine_timing,2018-12-03..2026-07-01,0.8569,0.0851,-0.1951,0.4416,231,1207001
headline,machine_no_timing,2018-12-03..2026-07-01,3.2446,0.2103,-0.1597,0.4379,354,2759013
headline,naive_buy_all,2018-12-03..2026-07-01,2.3976,0.1752,-0.1271,0.4706,170,2208426
headline,his_book_2023H2_2026,2023-06..2026-06,,,-0.1379,0.3305,118,723818

peryear,portfolio,year,n,wins,pl
peryear,machine_timing,2019,38,13,-10081
peryear,machine_timing,2020,32,18,113903
peryear,machine_timing,2021,38,21,147659
peryear,machine_timing,2022,4,4,45806
peryear,machine_timing,2024,38,19,240748
peryear,machine_timing,2025,48,13,-167788
peryear,machine_timing,2026H1,33,14,186755
peryear,machine_no_timing,2019,42,13,60369
peryear,machine_no_timing,2020,47,22,200122
peryear,machine_no_timing,2021,48,29,595516
peryear,machine_no_timing,2022,73,27,-113953
peryear,machine_no_timing,2023,11,5,42503
peryear,machine_no_timing,2024,37,21,645608
peryear,machine_no_timing,2025,64,21,-43686
peryear,machine_no_timing,2026H1,32,17,722533
peryear,naive_buy_all,2019,29,15,120708
peryear,naive_buy_all,2020,28,13,80061
peryear,naive_buy_all,2021,22,12,530148
peryear,naive_buy_all,2022,3,2,8857
peryear,naive_buy_all,2024,35,13,417599
peryear,naive_buy_all,2025,30,11,-24419
peryear,naive_buy_all,2026H1,23,14,425472
peryear,his_book,2023,12,2,-36632
peryear,his_book,2024,40,17,71198
peryear,his_book,2025,44,16,147627
peryear,his_book,2026H1,22,4,-108375

overlap,machine_entries,354
overlap,machine_names,275
overlap,his_bought_names,98
overlap,name_overlap,33
overlap,timing_overlap_pm30d,11
overlap,diverged_names,242

machine_trade,symbol,entry_date,entry_px,pivot,pattern,exit_date,exit_ret
trade,KNSA,2025-06-09,30.37,30.37,,2025-07-23,-0.107
trade,FTI,2025-06-16,33.0,33.0,,2025-07-21,-0.0245
trade,MSTR,2025-07-11,430.3,430.3,,2025-08-01,-0.148
trade,FTI,2025-07-21,33.0,33.0,,2025-10-10,0.0845
trade,WAB,2025-07-23,213.56,213.56,,2025-07-25,-0.07
trade,PWR,2025-07-23,405.53,405.53,,2025-08-20,-0.0731
trade,AGX,2025-07-25,228.14,228.14,,2025-08-19,-0.063
trade,AFRM,2025-08-04,73.21,73.21,,2025-09-26,0.0385
trade,TOST,2025-08-06,43.43,43.43,,2025-08-08,-0.0081
trade,META,2025-08-12,784.85,784.85,,2025-09-30,-0.0643
trade,MGNI,2025-09-02,24.98,24.98,,2025-09-16,-0.0765
trade,ENSG,2025-09-02,173.72,173.72,,2025-12-08,0.0096
trade,ANET,2025-09-04,142.09,142.09,,2025-11-05,-0.0118
trade,AGX,2025-09-18,253.89,253.89,,2025-12-17,0.1681
trade,COCO,2025-09-29,39.75,39.75,,2026-02-18,0.2594
trade,IBIT,2025-10-03,69.99,69.99,,2025-10-14,-0.0869
trade,GEV,2025-10-13,647.05,647.05,,2025-10-16,-0.07
trade,RYTM,2025-10-14,103.17,103.17,,2025-11-05,-0.0359
trade,ZS,2025-10-17,284.8,284.8,,2025-11-17,0.0355
trade,CRDO,2025-11-07,156.99,156.99,,2025-11-13,-0.0894
trade,DELL,2025-11-07,142.21,142.21,,2025-11-14,-0.0864
trade,AXS,2025-11-17,100.15,100.15,,2026-01-13,-0.011
trade,IWM,2025-12-15,246.48,246.48,,2026-03-06,0.0179
trade,RDDT,2025-12-17,231.07,231.07,,2026-01-21,-0.0906
trade,GMAB,2025-12-22,32.9,32.9,,2026-02-05,-0.0587
trade,FTAI,2025-12-22,167.96,167.96,,2026-03-11,0.5475
trade,ALAB,2026-01-05,183.0,183.0,,2026-01-06,-0.0901
trade,RIGL,2026-01-07,44.11,44.11,,2026-01-09,-0.0741
trade,APH,2026-01-12,143.58,143.58,,2026-02-04,-0.0946
trade,URBN,2026-01-13,69.44,69.44,,2026-02-25,-0.0703
trade,LQDT,2026-01-22,32.5,32.5,,2026-02-12,-0.0686
trade,CCL,2026-02-17,32.99,32.99,,2026-03-02,-0.1167
trade,HALO,2026-02-18,74.35,74.35,,2026-02-25,-0.0538
trade,NVT,2026-02-18,117.62,117.62,,2026-03-06,-0.0986
trade,AM,2026-02-23,21.73,21.73,,2026-04-14,-0.0221
trade,WLDN,2026-02-26,121.1,121.1,,2026-02-27,-0.173
trade,GCT,2026-02-26,44.81,44.81,,2026-05-05,-0.0596
trade,STOK,2026-03-02,37.44,37.44,,2026-03-03,-0.07
trade,VIST,2026-03-02,59.3,59.3,,2026-05-07,0.1096
trade,RKLB,2026-03-03,72.84,72.84,,2026-03-05,-0.07
trade,NSSC,2026-03-06,40.49,40.49,,2026-03-20,0.004
trade,BLBD,2026-03-06,53.01,53.01,,2026-07-01,0.4573
trade,LGND,2026-03-23,207.04,207.04,,2026-03-30,-0.0696
trade,SQM,2026-03-30,81.77,81.77,,2026-05-19,-0.0161
trade,LRCX,2026-04-13,256.78,256.78,,2026-07-01,0.5198
trade,IWM,2026-04-14,267.43,267.43,,2026-07-01,0.1219
trade,INDV,2026-04-20,32.34,32.34,,2026-07-01,0.2446
trade,SOLS,2026-05-05,83.57,83.57,,2026-05-06,-0.07
trade,ANET,2026-05-08,141.87,141.87,,2026-05-15,0.0007
trade,EXEL,2026-05-11,45.97,45.97,,2026-07-01,0.1775
trade,AIZ,2026-05-18,257.27,257.27,,2026-07-01,0.071
trade,CLS,2026-05-19,325.11,325.11,,2026-06-10,0.1163
trade,DAVE,2026-06-15,301.29,301.29,,2026-07-01,0.2832
