cik,ticker,source,entity_name
874761,AES,fundamentals,
1776661,ADV,fundamentals,
1670541,ADNT,fundamentals,
849401,ADMT,fundamentals,
6281,ADI,fundamentals,
1401521,ACIC,fundamentals,
6201,AAL,fundamentals,
1701541,BDTX,fundamentals,
925741,BCDA,fundamentals,
1328581,BCC,fundamentals,
1743881,BBIO,fundamentals,
1836981,BBAI,fundamentals,
1777921,AVPT,fundamentals,
5981,AVD,fundamentals,
1650101,ATXG,fundamentals,
1890361,ASPC,fundamentals,
1817241,ARTV,fundamentals,
1621221,ARTL,fundamentals,
1820721,ARRY,fundamentals,
882361,APTOF,fundamentals,
1858681,APO,fundamentals,
1418121,APLE,fundamentals,
2080921,APC,fundamentals,
708781,CASS,fundamentals,
831001,C,fundamentals,
1855781,BTCO,fundamentals,
1866581,BROS,fundamentals,
1891101,BRCC,fundamentals,
763901,BPOP,fundamentals,
1643721,BOTX,fundamentals,
1275101,BOTJ,fundamentals,
1641281,BOLT,fundamentals,
1962481,BOF,fundamentals,
1482541,BNC,fundamentals,
1130781,BMPA,fundamentals,
2050501,BLUW,fundamentals,
1632121,BLNC,fundamentals,
1709941,BIOA,fundamentals,
1499961,BINI,fundamentals,
1018281,CIK1018281,fundamentals,
101821,CIK101821,fundamentals,
1014041,CIK1014041,fundamentals,
1011661,CIK1011661,fundamentals,
1005201,CIK1005201,fundamentals,
1003961,CIK1003961,fundamentals,
1003201,CIK1003201,fundamentals,
913341,CFFI,fundamentals,
1865861,CCTSF,fundamentals,
1219601,CCK,fundamentals,
1818201,CCC,fundamentals,
726601,CCBG,fundamentals,
1882781,CBLO,fundamentals,
1605301,CBFV,fundamentals,
1877461,CBDW,fundamentals,
2065601,CBC,fundamentals,
1065001,CIK1065001,fundamentals,
1054721,CIK1054721,fundamentals,
1051741,CIK1051741,fundamentals,
1048501,CIK1048501,fundamentals,
1047881,CIK1047881,fundamentals,
1043121,CIK1043121,fundamentals,
1042821,CIK1042821,fundamentals,
1040721,CIK1040721,fundamentals,
1039101,CIK1039101,fundamentals,
1037461,CIK1037461,fundamentals,
1032761,CIK1032761,fundamentals,
1029581,CIK1029581,fundamentals,
102741,CIK102741,fundamentals,
1025561,CIK1025561,fundamentals,
1022701,CIK1022701,fundamentals,
1019361,CIK1019361,fundamentals,
1102541,CIK1102541,fundamentals,
1100441,CIK1100441,fundamentals,
1098881,CIK1098881,fundamentals,
1096481,CIK1096481,fundamentals,
1091801,CIK1091801,fundamentals,
1090061,CIK1090061,fundamentals,
1089061,CIK1089061,fundamentals,
1085621,CIK1085621,fundamentals,
1077561,CIK1077561,fundamentals,
107681,CIK107681,fundamentals,
1076541,CIK1076541,fundamentals,
1076481,CIK1076481,fundamentals,
1071941,CIK1071941,fundamentals,
1071341,CIK1071341,fundamentals,
1070361,CIK1070361,fundamentals,
